Year,Rank,Company,Revenue (in millions),Profit (in millions)
2009,1,Exxon Mobil,"442,851.00","45,220.00"
2009,2,Wal-Mart Stores,"405,607.00","13,400.00"
2009,3,Chevron,"263,159.00","23,931.00"
2009,4,ConocoPhillips,"230,764.00","-16,998.00"
2009,5,General Electric,"183,207.00","17,410.00"
2009,6,General Motors,"148,979.00","-30,860.00"
2009,7,Ford Motor,"146,277.00","-14,672.00"
2009,8,AT&T,"124,028.00","12,867.00"
2009,9,Hewlett-Packard,"118,364.00","8,329.00"
2009,10,Valero Energy,"118,298.00","-1,131.00"
2009,11,Bank of America Corp.,"113,106.00","4,008.00"
2009,12,Citigroup,"112,372.00","-27,684.00"
2009,13,Berkshire Hathaway,"107,786.00","4,994.00"
2009,14,International Business Machines,"103,630.00","12,334.00"
2009,15,McKesson,"101,703.00",990
2009,16,J.P. Morgan Chase & Co.,"101,491.00","5,605.00"
2009,17,Verizon Communications,"97,354.00","6,428.00"
2009,18,Cardinal Health,"91,091.40","1,300.60"
2009,19,CVS Caremark,"87,471.90","3,212.10"
2009,20,Procter & Gamble,"83,503.00","12,075.00"
2009,21,UnitedHealth Group,"81,186.00","2,977.00"
2009,22,Kroger,"76,000.00","1,249.40"
2009,23,Marathon Oil,"73,504.00","3,528.00"
2009,24,Costco Wholesale,"72,483.00","1,282.70"
2009,25,Home Depot,"71,288.00","2,260.00"
2009,26,AmerisourceBergen,"70,593.50",250.6
2009,27,Archer Daniels Midland,"69,816.00","1,802.00"
2009,28,Target,"64,948.00","2,214.00"
2009,29,Johnson & Johnson,"63,747.00","12,949.00"
2009,30,Morgan Stanley,"62,262.00","1,707.00"
2009,31,State Farm Insurance Cos.,"61,343.40",-541.8
2009,32,WellPoint,"61,251.10","2,490.70"
2009,33,Dell,"61,101.00","2,478.00"
2009,34,Boeing,"60,909.00","2,672.00"
2009,35,Microsoft,"60,420.00","17,681.00"
2009,36,Walgreen,"59,034.00","2,157.00"
2009,37,United Technologies,"58,681.00","4,689.00"
2009,38,Dow Chemical,"57,514.00",579
2009,39,MetLife,"55,085.00","3,209.00"
2009,40,Goldman Sachs Group,"53,579.00","2,322.00"
2009,41,Sunoco,"51,652.00",776
2009,41,Wells Fargo,"51,652.00","2,655.00"
2009,43,United Parcel Service,"51,486.00","3,003.00"
2009,44,Caterpillar,"51,324.00","3,557.00"
2009,45,Medco Health Solutions,"51,258.00","1,102.90"
2009,46,Pfizer,"48,296.00","8,104.00"
2009,47,Lowe's,"48,230.00","2,195.00"
2009,48,Time Warner,"46,984.00","-13,402.00"
2009,49,Sears Holdings,"46,770.00",53
2009,50,Safeway,"44,104.00",965.3
2009,51,Supervalu,"44,048.00",593
2009,52,PepsiCo,"43,251.00","5,142.00"
2009,53,Kraft Foods,"42,867.00","2,901.00"
2009,54,Lockheed Martin,"42,731.00","3,217.00"
2009,55,Hess,"41,094.00","2,360.00"
2009,56,Best Buy,"40,023.00","1,407.00"
2009,57,Cisco Systems,"39,540.00","8,052.00"
2009,58,Johnson Controls,"38,062.00",979
2009,59,FedEx,"37,953.00","1,125.00"
2009,60,Walt Disney,"37,843.00","4,427.00"
2009,61,Intel,"37,586.00","5,292.00"
2009,62,Sysco,"37,522.10","1,106.20"
2009,63,Honeywell International,"36,556.00","2,792.00"
2009,64,Sprint Nextel,"35,635.00","-2,796.00"
2009,65,Enterprise GP Holdings,"35,469.60",164.1
2009,66,GMAC,"35,445.00","1,868.00"
2009,67,Ingram Micro,"34,362.20",-394.9
2009,68,Comcast,"34,256.00","2,547.00"
2009,69,Northrop Grumman,"33,940.00","-1,262.00"
2009,70,News Corp.,"32,996.00","5,387.00"
2009,71,Apple,"32,479.00","4,834.00"
2009,72,CHS,"32,167.50",803
2009,73,Coca-Cola,"31,944.00","5,807.00"
2009,74,American Express,"31,877.00","2,699.00"
2009,75,DuPont,"31,836.00","2,007.00"
2009,76,New York Life Insurance,"31,416.20",-949.7
2009,77,Aetna,"30,950.70","1,384.10"
2009,78,Motorola,"30,146.00","-4,244.00"
2009,79,Plains All American Pipeline,"30,061.00",437
2009,80,Abbott Laboratories,"29,527.60","4,880.70"
2009,81,Allstate,"29,394.00","-1,679.00"
2009,82,TIAA-CREF,"29,362.50","-3,344.90"
2009,83,General Dynamics,"29,302.00","2,459.00"
2009,84,Prudential Financial,"29,275.00","-1,073.00"
2009,85,Humana,"28,946.40",647.2
2009,86,Liberty Mutual Insurance Group,"28,855.00","1,140.00"
2009,87,Deere,"28,437.60","2,052.80"
2009,88,HCA,"28,374.00",673
2009,89,Tyson Foods,"28,130.00",86
2009,90,Alcoa,"28,119.00",-74
2009,91,Tesoro,"28,031.00",278
2009,92,Murphy Oil,"27,512.50","1,740.00"
2009,93,Philip Morris International,"25,705.00","6,890.00"
2009,94,Emerson Electric,"25,281.00","2,412.00"
2009,95,3M,"25,269.00","3,460.00"
2009,96,Macy's,"24,892.00","-4,803.00"
2009,97,International Paper,"24,829.00","-1,282.00"
2009,98,Occidental Petroleum,"24,480.00","6,857.00"
2009,99,Travelers Cos.,"24,477.00","2,924.00"
2009,100,Rite Aid,"24,417.70","-1,079.00"
2009,101,Publix Super Markets,"24,109.60","1,089.80"
2009,102,Tech Data,"24,080.50",123.6
2009,103,Merck,"23,850.30","7,808.40"
2009,104,AMR,"23,766.00","-2,071.00"
2009,105,United States Steel,"23,754.00","2,112.00"
2009,106,Nucor,"23,663.30","1,831.00"
2009,107,McDonald's,"23,522.40","4,313.20"
2009,108,Raytheon,"23,174.00","1,672.00"
2009,109,Staples,"23,083.80",805.3
2009,110,Wyeth,"22,833.90","4,417.80"
2009,111,Delta Air Lines,"22,697.00","-8,922.00"
2009,112,Fannie Mae,"22,652.00","-58,707.00"
2009,113,Oracle,"22,430.00","5,521.00"
2009,114,Fluor,"22,325.90",720.5
2009,115,Express Scripts,"22,022.70",776.1
2009,116,Coca-Cola Enterprises,"21,807.00","-4,394.00"
2009,117,Google,"21,795.60","4,226.90"
2009,118,Northwestern Mutual,"21,734.40",483.2
2009,119,Manpower,"21,552.80",218.9
2009,120,Bristol-Myers Squibb,"21,366.00","5,247.00"
2009,121,Delphi,"20,383.00","3,037.00"
2009,122,Eli Lilly,"20,378.00","-2,071.90"
2009,123,UAL,"20,194.00","-5,348.00"
2009,124,Nationwide,"19,848.00",-342
2009,125,Constellation Energy,"19,818.30","-1,314.40"
2009,126,DirecTV Group,"19,693.00","1,521.00"
2009,127,Goodyear Tire & Rubber,"19,488.00",-77
2009,128,Kimberly-Clark,"19,415.00","1,690.00"
2009,129,U.S. Bancorp,"19,229.00","2,946.00"
2009,130,Amazon.com,"19,166.00",645
2009,131,TJX,"19,147.50",880.6
2009,132,Cigna,"19,101.00",292
2009,133,Whirlpool,"18,907.00",418
2009,134,Exelon,"18,859.00","2,737.00"
2009,135,Massachusetts Mutual Life Insurance,"18,744.60",-923.8
2009,136,Nike,"18,627.00","1,883.40"
2009,137,World Fuel Services,"18,509.40",105
2009,138,Schering-Plough,"18,502.00","1,903.00"
2009,139,J.C. Penney,"18,486.00",572
2009,140,International Assets Holding,"18,358.90",27.8
2009,141,Halliburton,"18,279.00","1,538.00"
2009,142,Burlington Northern Santa Fe,"18,018.00","2,115.00"
2009,143,Union Pacific,"17,970.00","2,338.00"
2009,144,Avnet,"17,952.70",499.1
2009,145,Capital One Financial,"17,868.50",-46
2009,146,Freeport-McMoRan Copper & Gold,"17,796.00","-11,067.00"
2009,147,Xerox,"17,608.00",230
2009,148,Illinois Tool Works,"17,217.90","1,519.00"
2009,149,Southern,"17,127.00","1,742.00"
2009,150,Merrill Lynch,"16,784.00","-27,612.00"
2009,151,Arrow Electronics,"16,761.00",-613.7
2009,152,AFLAC,"16,554.00","1,254.00"
2009,153,Computer Sciences,"16,499.50",544.6
2009,154,FPL Group,"16,410.00","1,639.00"
2009,155,Kohl's,"16,389.00",885
2009,156,Bank of New York Mellon Corp.,"16,355.00","1,419.00"
2009,157,Dominion Resources,"16,290.00","1,834.00"
2009,158,AES,"16,170.00","1,234.00"
2009,159,Oneok,"16,157.40",311.9
2009,160,Altria Group,"15,957.00","4,930.00"
2009,161,PPG Industries,"15,849.00",538
2009,162,Anadarko Petroleum,"15,723.00","3,261.00"
2009,163,Devon Energy,"15,560.00","-2,148.00"
2009,164,Eaton,"15,376.00","1,058.00"
2009,165,Health Net,"15,366.60",95
2009,166,Colgate-Palmolive,"15,329.90","1,957.20"
2009,167,Continental Airlines,"15,241.00",-585
2009,168,Amgen,"15,003.00","4,196.00"
2009,169,TRW Automotive Holdings,"14,995.00",-779
